I_size,D_size,L2_size,I_assoc,D_assoc,L2_assoc,cache_line,sim_seconds,CPI,D MR,I MR,L2 MR
16,128,1024,4,4,8,256,0.015612,3.122399,0.02062,0.000153,0.998363
16,128,256,2,2,8,256,0.015784,3.156747,0.02062,0.000162,0.998273
16,128,256,2,4,8,256,0.015781,3.156179,0.02062,0.000162,0.998213
16,128,256,4,2,8,256,0.015785,3.156903,0.020619,0.000153,0.998543
16,128,256,4,4,8,256,0.015784,3.156747,0.02062,0.000153,0.998498
16,128,4096,2,2,8,256,0.0153,3.059921,0.02062,0.000163,0.998138
16,128,4096,2,4,8,256,0.0153,3.059982,0.02062,0.000163,0.998078
16,128,4096,4,2,8,256,0.0153,3.059921,0.02062,0.000153,0.998408
16,128,4096,4,4,8,256,0.0153,3.059921,0.02062,0.000153,0.998363
16,16,1024,2,2,8,256,0.015618,3.123525,0.020712,0.000164,0.990361
16,16,1024,2,4,8,256,0.015611,3.122275,0.020627,0.000164,0.997479
16,16,1024,4,2,8,256,0.015618,3.123615,0.020712,0.000153,0.990641
16,16,1024,4,4,8,256,0.015613,3.122542,0.020627,0.000153,0.997764
16,16,256,2,2,8,256,0.015685,3.137002,0.020712,0.000163,0.990555
16,16,256,2,4,8,256,0.01568,3.136015,0.020627,0.000163,0.997629
16,16,256,4,2,8,256,0.015686,3.137233,0.020712,0.000153,0.990865
16,16,256,4,4,8,256,0.015681,3.136226,0.020627,0.000153,0.997944
16,16,4096,2,2,8,256,0.015306,3.061267,0.020712,0.000164,0.990361
16,16,4096,2,4,8,256,0.015299,3.059768,0.020627,0.000164,0.997479
16,16,4096,4,2,8,256,0.015306,3.061267,0.020712,0.000153,0.990641
16,16,4096,4,4,8,256,0.0153,3.060014,0.020627,0.000153,0.997764
16,32,1024,2,2,8,256,0.015619,3.123768,0.020702,0.000163,0.991306
16,32,1024,2,4,8,256,0.015611,3.122275,0.020623,0.000163,0.997853
16,32,1024,4,2,8,256,0.015618,3.123525,0.020702,0.000153,0.991587
16,32,1024,4,4,8,256,0.015613,3.122603,0.020623,0.000153,0.998138
16,32,256,2,2,8,256,0.015685,3.137061,0.020702,0.000162,0.99144
16,32,256,2,4,8,256,0.01568,3.135983,0.020623,0.000162,0.997989
16,32,256,4,2,8,256,0.015685,3.137002,0.020702,0.000153,0.991751
16,32,256,4,4,8,256,0.01568,3.136012,0.020623,0.000153,0.998303
16,32,4096,2,2,8,256,0.015306,3.06129,0.020702,0.000163,0.991306
16,32,4096,2,4,8,256,0.0153,3.059982,0.020623,0.000163,0.997853
16,32,4096,4,2,8,256,0.015306,3.061267,0.020702,0.000153,0.991587
16,32,4096,4,4,8,256,0.015301,3.060109,0.020623,0.000153,0.998138
16,64,1024,2,2,8,256,0.015613,3.122542,0.020622,0.000163,0.997943
16,64,1024,2,4,8,256,0.015613,3.122603,0.020622,0.000163,0.997958
16,64,1024,4,2,8,256,0.015611,3.122275,0.020622,0.000153,0.998228
16,64,1024,4,4,8,256,0.015612,3.122399,0.020622,0.000153,0.998243
16,64,256,2,2,8,256,0.015679,3.135759,0.020622,0.000162,0.998078
16,64,256,2,4,8,256,0.01568,3.135922,0.020622,0.000162,0.998093
16,64,256,4,2,8,256,0.01568,3.136073,0.020621,0.000153,0.998393
16,64,256,4,4,8,256,0.015681,3.136191,0.020621,0.000153,0.998393
16,64,4096,2,2,8,256,0.0153,3.059982,0.020622,0.000163,0.997943
16,64,4096,2,4,8,256,0.015301,3.060109,0.020622,0.000163,0.997958
16,64,4096,4,2,8,256,0.015301,3.060109,0.020622,0.000153,0.998228
16,64,4096,4,4,8,256,0.0153,3.059985,0.020622,0.000153,0.998243
16,8,1024,2,2,8,256,0.015963,3.192692,0.02828,0.000164,0.576838
16,8,1024,2,4,8,256,0.015641,3.128226,0.021231,0.000164,0.942882
16,8,1024,4,2,8,256,0.015963,3.192679,0.02828,0.000153,0.576933
16,8,1024,4,4,8,256,0.015641,3.128229,0.021231,0.000153,0.943136
16,8,256,2,2,8,256,0.016031,3.206188,0.02828,0.000163,0.576939
16,8,256,2,4,8,256,0.015708,3.141674,0.021232,0.000163,0.943065
16,8,256,4,2,8,256,0.016032,3.206303,0.02828,0.000153,0.577055
16,8,256,4,4,8,256,0.01571,3.141948,0.021231,0.000153,0.943349
16,8,4096,2,2,8,256,0.01565,3.130058,0.02828,0.000164,0.576838
16,8,4096,2,4,8,256,0.01533,3.065939,0.021231,0.000164,0.942882
16,8,4096,4,2,8,256,0.01565,3.130061,0.02828,0.000153,0.576933
